Date,Patient_Inflow,Outpatients,Emergency_Cases,Bed_Occupancy_Rate,Staff_on_Duty,Daily_Revenue,Medicine_Expenses,Surgery_Count,Operating_Theater_Utilization,Patient_Satisfaction_Score,Month
01-01-2023,116,74,30,76.05560356,54,22137.70183,5570.547212,15,80.80632847,4.045020362,Jan
02-01-2023,128,64,24,90.202973,69,20363.25426,7821.870747,29,82.28622149,3.10926884,Jan
03-01-2023,107,83,21,99.09736138,57,48695.04195,7617.056837,14,54.80828916,4.946156326,Jan
04-01-2023,123,79,26,72.81702147,61,42125.25078,7469.787991,12,60.62331332,3.452250662,Jan
05-01-2023,132,82,26,90.17806355,50,30597.54226,14062.54581,18,50.70209453,3.608397439,Jan
06-01-2023,109,59,34,83.31250658,69,28896.06744,7495.461998,19,61.73234443,3.607885025,Jan
07-01-2023,113,79,31,96.04426763,55,30491.09689,7719.497261,20,80.92567496,3.460833324,Jan
08-01-2023,118,74,34,75.31449368,67,43239.60594,12593.98262,17,70.71842111,3.002947644,Jan
09-01-2023,124,79,31,90.77877857,57,39841.11833,9497.398425,9,63.92382373,4.458689588,Jan
10-01-2023,113,82,30,95.14345869,56,25555.86704,12767.10557,13,64.8695718,4.933691,Jan
11-01-2023,119,85,27,98.33842658,50,25223.28006,5653.661576,12,50.05414503,3.448586967,Jan
12-01-2023,109,75,22,90.49744085,65,22951.86949,9875.711937,18,61.9920211,4.326094384,Jan
13-01-2023,123,85,34,84.91524292,61,39809.08159,5336.136002,17,75.85834967,4.483792654,Jan
14-01-2023,123,94,33,88.53541721,55,42931.17987,5626.532035,21,88.96777775,4.696850758,Jan
15-01-2023,113,100,26,96.06714953,69,27951.39285,14064.37453,8,83.88243308,3.845258394,Jan
16-01-2023,126,83,35,87.1182924,51,20628.34883,6392.453711,19,50.94379859,3.605861811,Jan
17-01-2023,105,97,26,70.91161179,63,22465.15002,10324.20682,20,85.94242419,3.650590268,Jan
18-01-2023,112,59,28,97.92846087,53,49035.80105,9110.956026,16,81.32793653,4.425242666,Jan
19-01-2023,114,77,39,90.68580253,50,28863.34332,8473.433263,17,81.21504494,4.633558933,Jan
20-01-2023,121,82,42,90.29540157,67,43076.69444,13998.33346,20,68.31983036,3.363227936,Jan
21-01-2023,123,90,24,76.47025457,62,38739.90707,5218.233968,15,65.92021172,3.741882016,Jan
22-01-2023,102,78,37,89.76656411,51,31458.18919,11637.89686,13,62.11662915,4.803880393,Jan
23-01-2023,94,91,35,81.81593217,58,26170.61787,14633.94434,18,52.62779436,4.613387039,Jan
